Estación:       L.  MONTEBELLO,  CHIS
Operada por:    SMN EMAS
Longitud:       91°43'48"  Longitud: 16°06'52"  Altitud: 1492

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
26/01/2018 17:00          59          80       10.00       49.30        14.5         100       855.5         0.6       169.5        16.1         100          66        17.0
26/01/2018 18:00          60          72        9.23       55.10        14.5         100       855.0         0.0       151.3        16.1         100          66        17.0
26/01/2018 19:00          62          77        9.51       45.40        14.9         100       854.2         0.0       182.0        16.7         100          66        17.0
26/01/2018 20:00          55          42        7.65       31.70        15.3         100       853.4         0.0       134.2        16.8          99          66        17.0
26/01/2018 21:00          62          43        6.13       33.10        15.2         100       852.9         0.0        75.7        16.1         100          66        17.0
26/01/2018 22:00          66          92        6.58       40.30        15.0         100       852.8         0.0        32.5        15.4         100          66        17.0
26/01/2018 23:00          70          66        6.80       41.40        14.5         100       852.9         0.0         4.7        14.7         100          66        17.0
27/01/2018 00:00          63          69        7.29       32.80        14.3         100       853.2         0.0         0.0        14.3         100          66        17.0
27/01/2018 01:00          62          37        9.40       37.10        14.2         100       853.6         0.0         0.0        14.2         100          66        17.0
27/01/2018 02:00          59          68        9.36       39.20        14.2         100       854.0         0.6         0.0        14.2         100          66        17.0
27/01/2018 03:00          58          74       10.71       40.70        13.9         100       854.4         0.8         0.0        13.9         100          66        17.0
27/01/2018 04:00          58          63        7.55       47.20        13.9         100       854.4         0.2         0.0        14.0         100          66        17.1
27/01/2018 05:00          61          25        6.59       44.60        14.0         100       854.2         0.2         0.0        14.0         100          66        17.0
27/01/2018 06:00          55          50        6.72       29.90        13.9         100       853.9         0.4         0.0        14.0         100          66        17.0
27/01/2018 07:00          60         109        6.50       28.40        13.9         100       853.6         0.2         0.0        14.0         100          66        17.0
27/01/2018 08:00          57          39        6.17       26.60        13.9         100       853.0         0.6         0.0        14.0         100          66        17.0
27/01/2018 09:00          58          35        9.00       26.60        13.7         100       852.7         0.4         0.0        13.8         100          66        17.0
27/01/2018 10:00          58          79        7.32       30.20        13.5         100       852.5         0.2         0.0        13.6         100          66        17.0
27/01/2018 11:00          53          39        5.78       32.00        13.5         100       852.8         0.0         0.0        13.6         100          66        17.0
27/01/2018 12:00          57          99        6.89       26.60        13.5         100       853.1         0.0         0.3        13.6         100          66        17.0
27/01/2018 13:00          60          39        7.00       27.00        13.6         100       853.3         0.0        11.5        13.8         100          66        17.0
27/01/2018 14:00          55          18        8.93       25.20        13.8         100       853.8         0.2        47.2        14.3         100          66        16.8
27/01/2018 15:00          58          40        8.46       31.70        14.3         100       854.1         0.0       111.8        15.4         100          66        16.8
27/01/2018 16:00          55          41        7.02       25.90        14.8         100       854.0         0.0       152.2        16.2         100          66        16.8
27/01/2018 17:00          65          39        6.43       36.00        15.2         100       853.7         0.0       139.5        16.5         100          66        16.8
27/01/2018 18:00          65          42        5.84       31.70        15.1         100       853.2         0.0       109.7        16.3         100          66        16.8
