-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    158                                                               
  933.0    768   11.0   -9.0     24   2.08      0      0  289.8  296.2  290.2
  925.0    837   16.6   -5.4     22   2.78    230      4  296.3  304.9  296.8
  917.0    911   19.4   -5.6     18   2.76    199      6  299.9  308.6  300.4
  916.0    921   19.4   -5.6     18   2.76    195      6  300.0  308.7  300.5
  902.0   1053   20.4   -8.5     14   2.25    140     10  302.3  309.5  302.7
  887.0   1198   21.4  -11.6     10   1.78    120     17  304.8  310.7  305.1
  850.0   1564   18.8  -10.2     13   2.08    135     13  305.8  312.6  306.2
  826.0   1809   17.0   -8.0     17   2.54    150     11  306.4  314.7  306.9
  813.0   1944   17.4  -15.6      9   1.40    178     15  308.2  313.0  308.5
  810.0   1975   17.3  -16.2      9   1.34    185     16  308.5  313.0  308.7
  769.0   2416   16.1  -25.1      4   0.65    210     16  311.8  314.1  311.9
  765.0   2461   16.0  -26.0      4   0.60    211     16  312.1  314.3  312.3
  736.0   2785   13.6  -22.8      6   0.84    220     13  313.0  315.9  313.1
  725.0   2911   12.6  -21.5      8   0.95    210     14  313.3  316.6  313.4
  700.0   3206   10.4  -18.6     11   1.27    220     15  314.0  318.4  314.2
  675.0   3499    8.1  -19.9     12   1.18    250     14  314.7  318.8  314.9
  605.0   4381    1.2  -23.6     14   0.95    275     20  316.8  320.1  316.9
  533.0   5402   -6.7  -28.0     17   0.72    265     24  318.9  321.6  319.1
  528.0   5478   -7.3  -28.3     17   0.71    266     25  319.1  321.6  319.2
  500.0   5900  -10.1  -31.1     16   0.57    270     28  320.7  322.8  320.8
  489.0   6071  -10.7  -42.7      5   0.18    267     31  322.0  322.7  322.0
  479.0   6229  -11.2  -34.0     13   0.45    265     33  323.3  325.0  323.4
  477.0   6261  -11.3  -32.3     16   0.54    266     33  323.5  325.6  323.6
  462.0   6505  -13.7  -19.7     61   1.75    270     35  323.5  329.6  323.8
  431.0   7026  -17.9  -23.9     59   1.30    280     40  324.7  329.3  324.9
  421.0   7202  -19.3  -25.3     59   1.17    280     43  325.0  329.3  325.3
  409.0   7416  -20.7  -28.7     49   0.88    280     46  325.9  329.2  326.1
  400.0   7580  -22.1  -28.1     58   0.95    280     49  326.2  329.7  326.4
  352.0   8508  -29.1  -35.1     56   0.55    284     57  328.9  331.0  329.0
  337.0   8817  -31.8  -34.4     78   0.62    285     60  329.3  331.7  329.5
  332.0   8923  -32.7  -34.1     87   0.65    286     58  329.5  331.9  329.6
  323.0   9117  -33.9  -38.0     66   0.45    289     55  330.4  332.2  330.5
  320.0   9182  -34.5  -38.4     67   0.44    290     54  330.5  332.2  330.6
  300.0   9630  -38.3  -41.2     74   0.35    290     58  331.3  332.6  331.3
  283.0  10029  -41.9  -45.9     65   0.22    290     62  331.7  332.6  331.7
  269.0  10372  -44.7  -47.9     70   0.19    290     65  332.4  333.2  332.5
  253.0  10781  -47.7  -52.3     59   0.12    290     68  333.9  334.4  333.9
  250.0  10860  -47.9  -55.9     39   0.08    290     69  334.7  335.1  334.7
  247.0  10939  -48.3  -61.3     21   0.04    290     69  335.3  335.5  335.3
  246.0  10966  -48.7  -55.7     44   0.08    290     69  335.1  335.4  335.1
  238.0  11182  -50.7  -54.3     65   0.10    290     68  335.2  335.7  335.3
  233.0  11318  -51.7  -55.9     60   0.08    290     68  335.7  336.1  335.8
  219.0  11717  -54.7  -60.7     47   0.05    292     78  337.1  337.4  337.1
  200.0  12290  -59.5  -63.3     61   0.04    295     93  338.4  338.6  338.4
  195.0  12448  -60.7  -64.5     61   0.03    295     97  338.9  339.1  338.9
  193.0  12512  -61.1  -66.1     51   0.03    295     98  339.3  339.4  339.3
  174.0  13153  -63.7  -71.7     33   0.01    295    113  345.2  345.3  345.2
  163.0  13551  -66.9  -70.1     64   0.02    295    102  346.3  346.4  346.3
  150.0  14050  -70.5  -75.1     51   0.01    295     89  348.5  348.5  348.5
  144.0  14291  -71.1  -77.1     41   0.01    290     79  351.5  351.5  351.5
  132.0  14804  -69.7  -81.7     16   0.00    288     71  362.9  362.9  362.9
  116.0  15570  -69.9  -86.9      7   0.00    285     59  376.1  376.1  376.1
  100.0  16440  -73.7  -88.7      9   0.00    280     64  385.1  385.1  385.1
